NAME,ADDRESS,CITY,STATE,ZIP5
COMMUNITY ACCESS UNLIMITED,80 W Grand St,Elizabeth,NJ,07202
COMMUNITY BAPTIST CHURCH EDC,535-549 MARTIN LUTHER KING WAY,PATERSON,NJ,07514
COMMUNITY EMPOWERMENT ORGANIZATION,845 Bergen Ave,Jersey City,NJ,07306
COMMUNITY HOUSING IN PARTNERSHIP,251 State St,Hackensack,NJ,07601
COMMUNITY OUTREACH TEAM INC.,15-21 MARTIN  L. KING DRIVE,JERSEY CITY,NJ,07305
"COMMUNITY URBAN RENEWAL ENTERPRISE, INC.",130 South St,Newark,NJ,07114
COOPERATIVE COMM MINISTRIES,57 Prospect St,East Orange,NJ,07017
COOPERATIVE HOUSING CORPORATION,62 E High St,Somerville,NJ,08876
CORINTHIAN HOMES URBAN RENEWAL,595 S 10th St,Newark,NJ,07103
CRAMER HILL COMMUNITY CDC,2699 River Ave,Camden,NJ,08105
CREECH TEMPLE COMMUNITY DEVELOPMENT CORPORATION,221 Hamilton Ave,Paterson,NJ,07501
CREST COMMUNITY DEVELOPMENT CORPORATION,34-36 Woodland Ave,Newark,NJ,07103
CUMBERLAND COUNTY HABITAT FOR HUMANITY,610 E Landis Ave,Vineland,NJ,08360
DEKBON COMMUNITY DEVELOPMENT CORP.,914 New Rd,Northfield,NJ,08225
DIOCESAN HOUSING SERVICES CORPORATION,1845 Haddon Ave,Camden,NJ,08103
"DIOCESAN HOUSING SERVICES CORPORATION OF THE DIOCESE OF CAMDEN, INC.",1845 Haddon Ave,Camden,NJ,08103
DOVE COMMUNITY DEVELOPMENT CORPORATION,902 18th Ave,Newark,NJ,07106
EAST ORANGE REVITALIZATION & DEVELOPMENT CORPORATION,160 Halsted St,East Orange,NJ,07018
ELIZABETH COALITION TO HOUSE THE HOMELESS,118 Division St,Elizabeth,NJ,07201
"EPISCOPAL COMMUNITY DEVELOPMENT, INC.",31 Mulberry St,Newark,NJ,07102
"EPISCOPAL COMMUNITY DEVELOPMENT, INC.",31 Mulberry St,Newark,NJ,07102
"EPISCOPAL COMMUNITY DEVELOPMENT, INC.",620 Clinton Ave,Newark,NJ,07108
FAIRMOUNT HOUSING CORP,270 Fairmount Ave,Jersey City,NJ,07306
FIRST BAPTIST DEVELOPMENT & URBAN RENEWAL CORP.,630 Franklin Blvd,Somerset,NJ,08873
"FLASH, CORP.",14 TERESA DRIVE,FORT LEE,NJ,07024
FORT LEE ASSISTANCE AND SUPPORT HOUSING CORP. (FLASH),1403 Teresa Dr,Fort Lee,NJ,07024
FRIENDS OF LIFERS CORPORATION,215 Martin Luther King Jr Dr,Jersey City,NJ,07305
"FRIENDS OF THE CARPENTER, INC.",170 Watchung Ave,North Plainfield,NJ,07060
Garden State Episcopal Development Corporation,514 Newark Ave,Jersey City,NJ,07306
"GENESIS HOUSING CORP, INC",317 E Barber Ave,Woodbury,NJ,08096
"GILMORE MEMORIAL ECONOMIC DEVELOPMENT, INC.",68 Haledon Ave,Paterson,NJ,07522
"GREATER NEWARK HOUSING PARTNERSHIP, INC.",275 Chestnut St,Newark,NJ,07105
GREENVILLE STEERING NON-PROFIT,112 Wade St,Jersey City,NJ,07305
GUTTENBERG AFFORDABLE HOUSING CORPORATION,6900 Broadway,Guttenberg,NJ,07093
Habitat for Humanity,146 N 1st St,Paterson,NJ,07522
HABITAT FOR HUMANITY,305 S Broadway,Pitman,NJ,08071
"HABITAT FOR HUMANITY ATLANTIC COUNTY, INC.",PO Box 443,Pleasantville,NJ,08232
Habitat for Humanity in Monmouth County,45 South St,Freehold,NJ,07728
Habitat for Humanity of Greater Plainfield,2 Randolph Rd,Plainfield,NJ,07060
HABITAT FOR HUMANITY OF HUDSON COUNTY,PO Box 6483,Jersey City,NJ,07306
"HANDS, INC.",439 Main St,Orange,NJ,07050
"HANSEN HOUSE, LLC.",523 SOUTH LEIPZIG AVENUE,COLOGNE,NJ,08213
"HEADQUARTERS COMMUNITY DEVELOPERS, INC.","c/o Homeless Solutions, Inc.",Morristown,NJ,07960
"HEART OF CAMDEN, INC",1742 Ferry Ave,Camden,NJ,08104
HISPANIC MULTI-PURPOSE SERVICE CENTER,45 E 21st St,Paterson,NJ,07504
"Home Empowerment Learning Program (HELP), Inc.",540 N New Jersey Ave,Atlantic City,NJ,08401
HOME QUEST,6814 Tilton Rd,Egg Harbor Township,NJ,08234
"HOME TEAM, INC.",4021 Ventnor Ave,Atlantic City,NJ,08401
HOMECORP OF MONTCLAIR,36 Fulton St,Montclair,NJ,07042
"HOMEFRONT - TLC, INC.",1880 Princeton Ave,Lawrenceville,NJ,08648
"Homes by TLC, Inc",1880 Princeton Ave,Lawrenceville,NJ,08648
HOMES FOR ALL,7 Hyers St,Toms River,NJ,08753
"HOMES NOW, INC.",2141 Route 88 E,Brick,NJ,08724
"HOMES OF HOPE, INC",35 Garden St,Mount Holly Township,NJ,08060
HOMES OF MONTCLAIR ECUMENICAL CORP.,1 Woodland Ave,Montclair,NJ,07042
HOUSING & ECONOMIC OPPORTUNITIES,216 Haddon Ave,Haddon Township,NJ,08108
HOUSING & ECONOMIC OPPORTUNITIES SOUTH JERSEY,1101 Kings Hwy N,Cherry Hill,NJ,08034
HOUSING & NEIGHBORHOOD DEVELOPMENT SERVICES,439 Main St,Orange,NJ,07050
"HOUSING AND NEIGHBORHAOOD DEVELOPMENT SERVICES, INC, (HANDS)",439 Main St,Orange,NJ,07050
HOUSING RESOURCE CENTER,576 Newark Ave,Jersey City,NJ,07306
HUDSON COUNTY HOUSING RESOURE CENTE,574 Newark Ave,Jersey City,NJ,07306
IFN REALTY,810 4th Ave,Asbury Park,NJ,07712
INNOVATIVE HOUSING DEVELOPMENT CORP.,P. O. BOX,CLIFFWOOD,NJ,07721
"INTERFAITH COUNCIL FOR THE HOMELESS OF UNION COUNTY, INC.",905 Watchung Ave,Plainfield,NJ,07060
INTERNATIONAL YOUTH ORGANIZATION,703 S 12th St,Newark,NJ,07103
IOC DEVELOPMENT CORPORATION,524 Deklyn Ave,Trenton,NJ,08610
"ISLES, INC",10 Wood St,Trenton,NJ,08618
JERSEY CITY EPISCOPAL COMMUNITY DEVELOPMENT CORP.,149 Palisade Ave,Jersey City,NJ,07306
"JERSEY COUNSELING & HOUSING DEVELOPMENT, INC.",1840 S Broadway,Camden,NJ,08104
JERSEY COUNSELLING AND DEVELOPMENT,1840 S Broadway,Camden,NJ,08104
JEWISH RENAISSANCE COMMUNITY DEVELOPMENT CORPORATION,149 Kearny Ave,Perth Amboy,NJ,08861
"L.N. FORBES LOVE & CONCERN FOUNDATION, INC.",16 Halsted St,East Orange,NJ,07018
LA CASA DE DON PEDRO,317 Roseville Ave,Newark,NJ,07107
La Casa de Don Pedro,75 Park Ave,Newark,NJ,07104
LAKEWOOD AFFORDABLE HOUSING CORP.,317 Sampson Ave,Lakewood,NJ,08701
LANNING SQUARE WEST NEIGHBORHOOD ASSOCIATION,111 N 6th St,Camden,NJ,08102
LATINO COMMUNITY LAND TRUST,206 E Hanover St,Trenton,NJ,08608
"LINCOLN PARK COAST CULTURAL DISTRICT, INC.",450 Washington St,Newark,NJ,07102
"LUTHERAN COMMUNITY HOUSING, INC.",120 Route 156,Trenton,NJ,08620
LUTHERAN SOCIAL HOUSING,120 Route 156,Trenton,NJ,08620
MADELINE CORPORATION,540 Bergen Blvd,Palisades Park,NJ,07650
MADISON AFFORDABLE HOUSING CORP,MADISON HOUSING AUTHORITY,MADISON,NJ,07940
METROPOLITAN ECUMENICAL MINISTRY,525 Orange St,Newark,NJ,07107
METUCHEN COMMUNITY SERVICES CORP.,319 Maple St,Perth Amboy,NJ,08861
MIDDLESEX INTERFAITH PARTNERS WITH THE HOMELESS,78 New St,New Brunswick,NJ,08901
MIPH AMANDLA CROSSING TRANS HS,100 Mitch Snyder Dr,Edison,NJ,08837
MONTCLAIR SHARED HOUSING ASSOCIATION,67 Church St,Montclair,NJ,07042
MOORESTOWN ECUMENICAL NEIGHBORHOOD,513 S Lenola Rd,Moorestown,NJ,08057
MOORESTOWN ECUMENICAL NEIGHBORHOOD DEVELOPMENT (MEND),99 E 2nd St,Moorestown,NJ,08057
MORRIS CANAL REDEVELOPMENT AREA COMMUNITY DEVELOPMENT CORPORATION,281 Pacific Ave,Jersey City,NJ,07304
MORRIS COUNTY AFFORDABLE HOUSING CORP,99 Ketch Rd,Morristown,NJ,07960
"Morris Habitat for Humanity, Inc.",274 S Salem St,Randolph,NJ,07869
"MOUNT HOLLY 2000, INC",PO Box 487,Mount Holly Township,NJ,08060
MT. ZION AME COMMUNITY DEVELOPMENT CORPORATION,39 Morris St,New Brunswick,NJ,08901
"NEIGHBORHOOD HOUSING SERVICES OF CAMDEN, INC",657A Berkley St,Camden,NJ,08103
NEW COMMUNITY CORPORATION,233 W Market St,Newark,NJ,07103
NEW COMMUNITY IRVINGTON URBAN RENEWAL CORP.,233 W Market St,Newark,NJ,07103
NEW JERSEY RURAL HOUSING ACTION,645 N Delsea Dr,Vineland,NJ,08360
NEW LIFE COMMUNITY DEVELOPMENT CORP.,1721 Haddon Ave,Camden,NJ,08103
NEW TOWN COMMUNITY DEVELOPMENT CORPORATION,HARRISON AND SCHUYLER AVENUES,HARRISON,NJ,07029
NEW VISIONS COMMUNITY DEVELOPMENT CORP.,39 SOUTH 20TH STREET,NEWARK,NJ,07103
NJCDC/GREAT FALLS HOUSING CORP,32 Spruce St,Paterson,NJ,07501
NORTH BERGEN RENAISSANCE CORPORATION,6121 Grand Ave,North Bergen,NJ,07047
NORTH CAMDEN LAND TRUST,543 State St,Camden,NJ,08102
NORTH HUDSON COMMUNITY ACTION COUNCIL,5301 Broadway,West New York,NJ,07093
NORTHWEST NEW JERSEY COMMUNITY ACTION,350 Marshall St,Phillipsburg,NJ,08865
"NORWESCAP, INC.",350 Marshall St,Phillipsburg,NJ,08865
OCEAN COMMUN ECON ACTION NOW (O.C.E.A.N.),PO Box 1029,Toms River,NJ,08754
"OCEAN HOUSING ALLIANCE, INC",PO Box 534,Toms River,NJ,08754
"OCEAN MENTAL HEALTH SERVICES, INC.",160 Route 9,Bayville,NJ,08721
"OCEAN, INC.",40 Washington St,Toms River,NJ,08753
OUR LADY OF MOUNT CARMEL SENIOR,268 Oakwood Ave,Orange,NJ,07050
P.A.C.O.,392 Manila Ave,Jersey City,NJ,07302
P.A.H.D.C.,1 Olive St,Perth Amboy,NJ,08861
"PADUA HOUSING CORP, INC",24 Cliff St,Jersey City,NJ,07306
PALISADE EMERGENCY RESIDENCE CORPORATION (PERC),108 36th St,Union City,NJ,07087
"PARKSIDE BUSINESS & COMMUNITY IN PARTNERSHIP, INC.",1487 Kenwood Ave,Camden,NJ,08103
"PARTNERSHIPS FOR PEOPLE, INC",748 MORRIS ESSEX TURNPIKE,SHORT HILLS,NJ,07078
Passaic Affordable Housing Coalition,5 8th Ave,Passaic,NJ,07055
PASSAIC AFFORDABLE HOUSING CORP.,333 Passaic St,Passaic,NJ,07055
PATERSON COALITION FOR HOUSING,262 Main St,Paterson,NJ,07505
PATERSON INTERFAITH COMMUNITIES,470 Chamberlain Ave,Paterson,NJ,07522
PENWAL AFFORDABLE HOUSING CORP,401 Hackensack Ave,Hackensack,NJ,07601
PILGRIMAGE OUTREACH MINISTRIES,449 Union Ave,Paterson,NJ,07522
Plainfield Community Development Corporation,510 E Front St,Plainfield,NJ,07060
PLEASANTVILLE HOUSING & REDEVELOPMENT CORP.,156 N Main St,Pleasantville,NJ,08232
PRAHD,100 First St,Perth Amboy,NJ,08861
Premier Community Development,510 E Front St,Plainfield,NJ,07060
"PRINCETON COMMUNITY HOUSING, INC.",245 Nassau St,Princeton,NJ,08540
"PROCEED, INC.",815 Elizabeth Ave,Elizabeth,NJ,07201
Project Freedom,1 Freedom Blvd,Lawrenceville,NJ,08648
"PROJECT FREEDOM, INC.",233 Hutchinson Rd,Robbinsville,NJ,08691
"Project Live, Inc.",465-475 Broadway,Newark,NJ,07104
PUERTO RICAN LUTHERAN HOUSING,192 3rd St,Jersey City,NJ,07302
REFORMED CHURCH OF HIGHLAND PARK - AFFORDABLE HOUSING CORP.,19 S 2nd Ave,Highland Park,NJ,08904
REFORMED CHURCH OF HIGHLAND PARK AFFORDABLE HOUSING CORPORATION,19 S Second Ave,Highland Park,NJ,08904
ROWLEY PARK ECONOMIC DEVELOPMENT CORP,JOURNAL SQUARE PLAZA,JERSEY CITY,NJ,07306
SAINT JOSEPH'S CARPENTERS SOCIETY,2770 Federal St,Camden,NJ,08105
"SALT & LIGHT CO, INC",PO Box 249,Mount Holly Township,NJ,08060
SAMARITAN CENTER,3 Harrison Ave,Englishtown,NJ,07726
SECOND BAPTIST CDC,72 Carroll St,Paterson,NJ,07501
SECOND BAPTIST COMMUNITY DEVELOPMENT CORP.,SWEDESBORO AVENUE & PINE STREET,PAULSBORO,NJ,08096
SERV Community Housing Development Organization,20 Scotch Rd,Ewing,NJ,08628
"SHARE, INC",104 Cottage Pl,Ridgewood,NJ,07450
SIERRA HOUSE INC,11 S Maple Ave,East Orange,NJ,07018
SOUTH AMBOY RENAISSANCE CORPORATION,250 S Broadway,South Amboy,NJ,08879
"SPECTRUM FOR LIVING GROUP HOMES,",210 Rivervale Rd Apt 3,Rivervale,NJ,07675
ST. JAMES COMMUNITY DEVELOPMENT CORP,284 Broadway,Newark,NJ,07104
ST. JOHN COMMUNITY DEVELOPMENT CORP,1100 NORTH 30TH STREET,CAMDEN,NJ,08105
ST. LUKE'S CDC,281 Fair St,Paterson,NJ,07501
"ST. MATTHEW NIDA, INC.",617A Central Ave,East Orange,NJ,07018
ST. PAUL'S C.D.C.,456 Van Houten St,Paterson,NJ,07501
"START EASY EAGLE DEVELOPMENT, CORP",333 Dodd St,East Orange,NJ,07017
STATE STREET HOUSING CORP,532 State St,Camden,NJ,08102
T & C CHILD DEVELOPMENT CO.,3401 Highland Ave,Camden,NJ,08105
"The Arc of Essex County, Inc.",123 Naylon Ave,Livingston,NJ,07039
THE NONPROFIT HOUSING DEVELOPMENT,355 Market St,Gloucester,NJ,08030
Tri-City Peoples Corporation,55 Washington St,East Orange,NJ,07017
TRI-CITY PEOPLES CORPORATION,675 S 19th St,Newark,NJ,07103
TRI-COUNTY COMMUNITY ACTION AGENCY,143 W Broad St,Bridgeton,NJ,08302
TRI-COUNTY COMMUNITY ACTION PARTNERSHIP,110 Cohansey St,Bridgeton,NJ,08302
"TRIPLE C HOUSING, INC.",316 Livingston Ave,New Brunswick,NJ,08901
UJIMA MINISTERIES INC.,1001 Pennington Rd,Ewing,NJ,08618
UNIFIED VAILSBURG SERVICES,40 Richelieu Ter,Newark,NJ,07106
UNION CHAPEL COMMUNITY DEVELOPMENT CORP.,209 Wainwright St,Newark,NJ,07112
UPPER MONROE STREET IMPROVEMENT CORPORATION,PO Box 1630,Passaic,NJ,07055
URBAN LEAGUE HOUSING & COMMUNITY DEVELOPMENT CORPORATION,253 Martin Luther King Jr Dr,Jersey City,NJ,07305
"Urban league of Essex County, NJ",508 Central Ave,Newark,NJ,07107
"URBAN LEAGUE OF HUDSON COUNTY, INC.",779 Bergen Ave,Jersey City,NJ,07306
URBAN RESOURCE DEVELOPMENT CORP,1213 Clinton Ave,Irvington,NJ,07111
"VANTAGE HEALTH SYSTEMS, INC.",2 Park Ave,Dumont,NJ,07628
VISION 2000,110 REV. I.S. COLE PLAZA,ATLANTIC CITY,NJ,08401
"VISITATION HOME, INC.",11 Innocenzi Dr,Hamilton Square,NJ,08690
WEEHAWKEN HOUSING AGENCY,525 Gregory Ave,Weehawken,NJ,07086
WEST NEW YORK HOUSING CORPORATION,6100 Adams St,West New York,NJ,07093
"WINDMILL ALLIANCE, INC",141 Broadway,Bayonne,NJ,07002
"Y HOMES, INC.",144 Madison Ave,Elizabeth,NJ,07201
"CARLSBAD MENTAL HEALTH CENTER, INC.",914 N Canal St,Carlsbad,NM,88220
COMM ACTION AGENCY OF SOUTHERN NM,3880 Foothills Rd,Las Cruces,NM,88011
COMMUNITY ACTION AGENCY OF SOUTHERN NEW MEXICO,PO Box 130,Las Cruces,NM,88004
Community Area Resource Enterprise,PO Box 4298,Gallup,NM,87305
COOPERATIVE OWNERSHIP DEVELOPMENT,610 N Silver St,Silver City,NM,88061
EASTERN PLAINS HOUSING DEVELOPMENT,200 MAIN STREET,CLOVIS,NM,88101
"ECONOMIC COUNCIL HELPING OTHERS, INC. (ECHO)",304 S Lake St Ste D,Farmington,NM,87401
ECONOMIC OPPORTUNITIES BOARD,2010 Bridge Blvd SW,Albuquerque,NM,87105
EDDY COUNTY COMMUNITY ACTION CORP,PO Box 5009,Carlsbad,NM,88221
EMPOWERING OUR COMMUNITIES,344 4th St SW,Albuquerque,NM,87102
EMPOWERING OUR COMMUNITIES IN NEW MEXICO,130 CALLE MALINCHE,BERNALILLO,NM,87004
"ESTRELLA NATIVA,INC.",220 Bernalillo St,Las Vegas,NM,87701
GOLDEN SPREAD RURALFRONTIER COALITION,113 Walnut St,Clayton,NM,88415
GREATER ALBUQUERQUE HOUSING PARTNERSHIP,5101 Copper Ave NE,Albuquerque,NM,87108
HABITAT FOR HUMANITY VALENCIA CHDO,PO Box 1545,Belen,NM,87002
HELP/RURAL HOUSING/HOMELESS,3423 Central Ave NE,Albuquerque,NM,87106
HOMEWISE,1301 Siler Rd,Santa Fe,NM,87507
"JUBILEE HOUSING OF NEW MEXICO, INC.",700 VASSER DRIVE NE,ALBUQUERQUE,NM,87106
LAS CRUCES AFFORDABLE HOUSING INC.,PO Box 321,Las Cruces,NM,88004
"LEA COUNTY HOUSING, INC.",1923 N Dal Paso St,Hobbs,NM,88240
LUNA COUNTY HOUSING CORPORATION,109 E Pine St,Deming,NM,88030
MESILLA VALLEY HABITAT FOR HUMANITY,720 N Santa Fe St,Las Cruces,NM,88001
OTERO COUNTY HABITAT FOR HUMANITY,1109 B TENTH SREET,ALAMOGORDO,NM,88301
SANTA FE COMMUNITY HOUSING TRUST,PO Box 713,Santa Fe,NM,87504
SAWMILL COMMUNITY LAND TRUST,904 19th St NW,Albuquerque,NM,87104
SER DE NEW MEXICO,7800 Marble Ave NE Ste 3,Albuquerque,NM,87110
SIETE DEL NORTE,PO Box 400,Silver City,NM,88062
SW NEIGHBORHOOD HOUSING SERVCES,1500 Lomas Blvd NW Ste B,Albuquerque,NM,87104
TIERRA DEL SOL HOUSING CORP,210 E Idaho Ave,Las Cruces,NM,88005
"TIERRA MADRE, INC.",PO Box 1768,Sunland Park,NM,88063
"TWILIGHT DAWN, INCORPORATED",PNM  MINE BUILDING,GALLUP,NM,87301
"YES HOUSING, INC.",104 Roma Ave NW,Albuquerque,NM,87102
AFFORDABLE HOUSING RESOURCE,,RENO,NV,99999
BETHEL HOUSING DEVELOPMENT CORP,2655 Rock Blvd,Sparks,NV,89431
CATHOLIC CHARITIES OF S. NEVADA,PO Box 1926,Las Vegas,NV,89125
CCSN MCFARLAND HSG DEVELOPMENT CORP,2021 Loro Ct,Las Vegas,NV,89117
CHRISTMAS IN APRIL*TRUCKEE MEADOWS,2655 Rock Blvd,Sparks,NV,89431
CITIZENS FOR AFFORDABLE HOMES,308 N Curry St,Carson City,NV,89703
COMMUNITY HOUSING RESOURCE BOARD,1000 EL RANCHO DRIVE,RENO,NV,89501
COMMUNITY SERVICES AGENCY DEV.CORP,PO Box 10167,Reno,NV,89510
"COMMUNITY SERVICES AGENCY, INC",1100 E 8th St,Reno,NV,89512
ECONOMIC OPPORTUNITY BOARD OF CLARK COUNTY,2228 COMSTOCK DRIVE,LAS VEGAS,NV,89106
FT MCDERMITT/NATIVE AMERICAN CORP,PO Box 457,Mc Dermitt,NV,89421
Habitat for Humanity,4580 West Sahara Avenue,Las Vegas,NV,89102
"HAND ENTERPRISES,INC.",295 E Warm Springs Rd Ste 101,Las Vegas,NV,89119
HOUSING FOR NEVADA,285 E Warm Springs Rd Ste 106,Las Vegas,NV,89119
HOUSING FOR NEVADA,285 E Warm Springs Rd,Las Vegas,NV,89119
LAS VEGAS INDIAN CENTER,2300 W Bonanza Rd,Las Vegas,NV,89106
NEIGHBORHOOD HOUSING SERVICES OF SOUTHERN NV,3100 E Lake Mead Blvd,North Las Vegas,NV,89030
NEVADA HAND INC.,295 E Warm Springs Rd Ste 101,Las Vegas,NV,89119
NEVADA HOMES FOR YOUTH,COMMERCIAL CENTER/ARTS BUILDING,LAS VEGAS,NV,89104
"NEVADA RURAL HOUSING, INC.",3695 Desatoya Dr,Carson City,NV,89701
NORTHERN NEVADA COMMUNITY HOUSING RESOURCE BOARD,PO Box 20604,Reno,NV,89515
Ridge House,900 W 1st St Ste 200,Reno,NV,89503
RURAL NEVADA DEVELOPMENT CORPORATION,1320 E Aultman St,Ely,NV,89301
RURAL NEVADA FORT MCDERMITT,740 Park Ave,Ely,NV,89301
SIERRA NEVADA COMMUNITY LAND TRUST,PO Box 2109,Minden,NV,89423
"SILVER STATE HOUSING, INC.",2655 S Rainbow Blvd Ste 401,Las Vegas,NV,89146
ST. JOSEPH COMMUNITY HOMES AND LAND,1041 Lyons Ave,South Lake Tahoe,NV,96150
THE KEY FOUNDATION,3416 Venice Dr,Las Vegas,NV,89108
VITALITY CENTER,PO Box 2580,Elko,NV,89803
WOMENS DEVELOPMENT CENTER,216 S 7th St,Las Vegas,NV,89101
"36-38 CHAMBER STREET MANAGER, LP",155 Main St,Gardiner,NY,12525
"A-HOME COMMUNITY ENTERPRISES, INC.",185 Kisco Ave Ste 4,Mount Kisco,NY,10549
ABYSSINIAN DEVELOPMENT CORP,132 Odell Clark Pl,New York,NY,10030
ACCESS CHAUTAUQUA INC.,PO Box 86,Jamestown,NY,14702
ACTION FOR A BETTER COMMUNITY,550 E Main St,Rochester,NY,14604
ADELANTE OF SUFFOLK COUNTY INC.,"ADELANTE OF SUFFOLK COUNTY, INC.",BRENTWOOD,NY,11717
ALBANY COMMUNITY LAND TRUST,340 1st St,Albany,NY,12206
ALBANY HOUSING COALITION,151 Clinton Ave,Albany,NY,12210
"ALFRED HOUSING COMMITTEE, INC",11 W University St,Alfred,NY,14802
Allied Community Enterprises,PO Box 394,North Salem,NY,10560
ANDOVER HISTORIC PRESERVATION CORP,4 Main St,Andover,NY,14806
"ANGELO J. MELILLO CENTER FOR MENTAL HEALTH, INC.",ANGELO J. MELILLO CENTER FOR MENTAL HEALTH,GLEN COVE,NY,11542
ANR - RPC CHECKING,110 Ogden St,Ogdensburg,NY,13669
ANTIOCH HOUSING FUND CORPORATION,94 JAMES L.L. BURRELL AVENUE,HEMSTEAD,NY,11550
APEX II INC.,237 Schenck Ave,Great Neck,NY,11021
AQUINAS HOUSING CORPORATION,975 E Tremont Ave,Bronx,NY,10460
ARBOR HILL DEVELOPMENT CORP.,241 Clinton Ave,Albany,NY,12210
ASIAN AMERICANS FOR EQUALITY COMMUNITY DEVELOPMENT FUND,ASIAN AMERICANS FOR EQUALITY CD FUND,NEW YORK,NY,10002
ASTELLA DEVELOPMENT CORP.,ASTELLA DEVELOPMENT CORP.,BROOKLYN,NY,11225
BEC NEW COMMUNITIES,541 Atlantic Ave,Brooklyn,NY,11217
BELMONT ARTHUR LOCAL DEVELOPMENT CORP,685 E 187th St,Bronx,NY,10458
BETHANY HOUSE OF NASSAU COUNTY,102 Whitehouse Ave,Roosevelt,NY,11575
BETHEL COMMUNITY DEVELOPMENT CORPORATION,1525 Michigan Ave,Buffalo,NY,14209
"BETTER HOUSING FOR TOMPKINS COUNTY, INC.",122 W Court St,Ithaca,NY,14850
"BETTER NEIGHBORHOODS, INC",120 Emmons St,Schenectady,NY,12304
"BHEP ALLIANCE, INC",PO Box 121,Bellport,NY,11713
"BLACK ROCK-RIVERSIDE NHS, INC.",203 Military Rd,Buffalo,NY,14207
Black Veterans for Social Justice,665 Willoughby Ave,Brooklyn,NY,11206
"BLACKROCK RIVERSIDE, INC.",203 Military Rd,Buffalo,NY,14207
Breaking Ground II Housing Development  Fund Corp.,505 8th Ave Fl 5,New York,NY,10018
"Broadway-Fillmore Neighborhood Housing Services, Inc.",780 Fillmore Ave,Buffalo,NY,14212
BRONX SHEPHERDS RESTORATION,1874 Washington Ave,Bronx,NY,10457
"BROOKLYN NEIGHBORHOOD IMPROVEMENT ASSOCIATION, INC.",BROOKLYN NEIGHBORHOOD IMPROVEMENT ASSOCIATION,BROOKLYN,NY,11213
"Buffalo Neighborhood Stabilization Co., Inc.",271 Grant St,Buffalo,NY,14213
CAMBA HOUSING VENTURES,19 Winthrop St,Brooklyn,NY,11225
CAPITAL CITY HOUSING DEVELOPMENT FUND CO. INC.,200 Henry Johnson Blvd,Albany,NY,12210
"CAPITAL DISTRICT HABITAT FOR HUMANITY, INC.",207 Sheridan Ave,Albany,NY,12210
CATHOLIC CHARITIES OF THE SOUTHERN TIER,215 E Church St,Elmira,NY,14901
CDCLI HOUSING DEVELOPMENT FUND CORPORATION,2100 Middle Country Rd Ste 300,Centereach,NY,11720
CENTER CITY NEIGHBORHOOD DEVELOPMENT,1824 Main St,Niagara Falls,NY,14305
"CENTER FOR URBAN REHABILITATION AND EMPOWERMENT, INC.",15 Palisade Ave Ste 3,Yonkers,NY,10701
CENTRAL ISLIP CIVIC COUNCIL,PO Box 219,Central Islip,NY,11722
CHATAUQUA HOME REHABILITATION & IMPROVEMENT CORP,,MAYVILLE,NY,99999
CHATAUQUA HOME REHABILITATION & IMPROVEMENT CORP.,2 Academy St,Mayville,NY,14757
CHAUTAUQUA OPPORTUNITIES INC. (COI),17 W Courtney St,Dunkirk,NY,14048
"CHI MT. VERNON, INC",190 E Post Rd,White Plains,NY,10601
CHRISTOPHER COMMUNITIES,1654 CHRISTOPHER COMMUNITIES,SYRACUSE,NY,13204
CITIZENS ALLIANCE INC.,792 E Delavan Ave,Buffalo,NY,14215
CITIZENS OPPORTUNITY FOR DEVELOPMENT AND EQUALITY (C.O.D.E.),878 N Main St,Jamestown,NY,14701
CLAYTON IMPROVMENT ASSOCIATION LTD,PO Box 99,Clayton,NY,13624
CLINTON HOUSING DEVELOPMENT COMPANY,403 W 40th St,New York,NY,10018
COALITION OF NORTH EAST ASSOC. COMM.,ASSOCIATE COMMISSIONER,ROCHESTER,NY,14605
COMLINKS COMMUNITY ACTION AGENCY OF,PO Box 270,Malone,NY,12953
Common Ground Community II HDFC,505 8th Ave,New York,NY,10018
COMMUNITY ACTION OF JEFFERSON COUNT,518 Davidson St,Watertown,NY,13601
"Community Action Organization of Western New York, Inc.",45 Jewett Ave,Buffalo,NY,14214
COMMUNITY ACTION PROGRAM FOR MADISON COUNTY,,MORRISVILLE,NY,99999
"COMMUNITY ASSISTED TENANT CONTROLLED HOUSING, INC.",COMMUNITY ASSISTED TENANT CONTROLLED HOUSING,NEW YORK,NY,10013
"COMMUNITY DIRECTED OWNERSHIP, INC.",179 W 137th St,New York,NY,10030
"COMMUNITY HOUSING INNOVATIONS, INC.",190 E Post Rd,White Plains,NY,10601
"COMMUNITY HOUSING OF ITHACA, INC.",326 N Meadow St,Ithaca,NY,14850
"COMMUNITY INCLUSION, INC",890 E 2nd St,Jamestown,NY,14701
"Community Land Trust of Schenectady, Inc.",1677 Van Vranken Ave,Schenectady,NY,12308
"COMMUNITY LEAGUE OF THE HEIGHTS, INC.","COMMUNITY LEAGUE OF THE HEIGHTS, INC.",NEW YORK,NY,10032
COMMUNITY PARTNERSHIP DEVELOPMENT CORPORATION,Community Partnership Development Corporation,New York,NY,10123
COMMUNITY POTENTIAL INC.,35 Exchange Street,Binghamton,NY,13901
COMMUNITY UNIFIED TODAY,PO Box 268,Geneva,NY,14456
"CONCOURSE HOUSE, HDFC",2751 Grand Concourse,Bronx,NY,10468
CONGREGATION LINKED IN URBAN,PO Box 281,Yonkers,NY,10703
